image,n_gt,bucket,area,size,max_iou_nbr,nbr_count,rank,m300,m1000
0000287_01601_d_0000767,74,50-100,207.0,small,0.2391,2,94,1,1
0000287_01601_d_0000767,74,50-100,192.0,small,0.2391,2,96,1,1
0000287_01601_d_0000767,74,50-100,189.0,small,0.1981,2,-1,0,0
0000287_01601_d_0000767,74,50-100,336.0,small,0.1852,4,280,1,1
0000287_01601_d_0000767,74,50-100,176.0,small,0.1852,2,314,0,1
0000287_01601_d_0000767,74,50-100,720.0,small,0.4874,1,26,1,1
0000287_01601_d_0000767,74,50-100,60.0,small,0.3684,1,40,1,1
0000287_01601_d_0000767,74,50-100,78.0,small,0.5882,3,-1,0,0
0000287_01601_d_0000767,74,50-100,224.0,small,0.0072,0,10,1,1
0000287_01601_d_0000767,74,50-100,150.0,small,0.1484,3,22,1,1
0000287_01601_d_0000767,74,50-100,324.0,small,0.0143,4,33,1,1
0000287_01601_d_0000767,74,50-100,210.0,small,0.0,2,11,1,1
0000287_01601_d_0000767,74,50-100,175.0,small,0.1484,3,254,1,1
0000287_01601_d_0000767,74,50-100,168.0,small,0.0,0,35,1,1
0000287_01601_d_0000767,74,50-100,120.0,small,0.0,2,44,1,1
0000287_01601_d_0000767,74,50-100,232.0,small,0.2174,2,32,1,1
0000287_01601_d_0000767,74,50-100,448.0,small,0.1429,3,299,1,1
0000287_01601_d_0000767,74,50-100,76.0,small,0.0,1,46,1,1
0000287_01601_d_0000767,74,50-100,80.0,small,0.093,3,133,1,1
0000287_01601_d_0000767,74,50-100,60.0,small,0.1429,2,45,1,1
0000287_01601_d_0000767,74,50-100,44.0,small,0.3684,1,-1,0,0
0000287_01601_d_0000767,74,50-100,240.0,small,0.1154,2,173,1,1
0000287_01601_d_0000767,74,50-100,84.0,small,0.5882,3,172,1,1
0000287_01601_d_0000767,74,50-100,989.0,small,0.4874,1,38,1,1
0000287_01601_d_0000767,74,50-100,440.0,small,0.2174,2,181,1,1
0000287_01601_d_0000767,74,50-100,266.0,small,0.105,2,59,1,1
0000287_01601_d_0000767,74,50-100,312.0,small,0.1186,2,-1,0,0
0000287_01601_d_0000767,74,50-100,351.0,small,0.1827,2,-1,0,0
0000287_01601_d_0000767,74,50-100,2496.0,medium,0.1429,5,-1,0,0
0000287_01601_d_0000767,74,50-100,1888.0,medium,0.2,1,23,1,1
0000287_01601_d_0000767,74,50-100,416.0,small,0.2,1,95,1,1
0000287_01601_d_0000767,74,50-100,495.0,small,0.0,1,18,1,1
0000287_01601_d_0000767,74,50-100,451.0,small,0.0,1,24,1,1
0000287_01601_d_0000767,74,50-100,144.0,small,0.0,4,72,1,1
0000287_01601_d_0000767,74,50-100,95.0,small,0.0855,4,-1,0,0
0000287_01601_d_0000767,74,50-100,170.0,small,0.0,0,190,1,1
0000287_01601_d_0000767,74,50-100,96.0,small,0.0,0,430,0,1
0000287_01601_d_0000767,74,50-100,672.0,small,0.2832,12,80,1,1
0000287_01601_d_0000767,74,50-100,361.0,small,0.2832,10,58,1,1
0000287_01601_d_0000767,74,50-100,378.0,small,0.3034,9,-1,0,0
0000287_01601_d_0000767,74,50-100,196.0,small,0.2885,5,-1,0,0
0000287_01601_d_0000767,74,50-100,72.0,small,0.2885,3,-1,0,0
0000287_01601_d_0000767,74,50-100,572.0,small,0.0,7,30,1,1
0000287_01601_d_0000767,74,50-100,180.0,small,0.2746,4,140,1,1
0000287_01601_d_0000767,74,50-100,196.0,small,0.2746,4,137,1,1
0000287_01801_d_0000768,56,50-100,1620.0,medium,0.0,0,1,1,1
0000287_01801_d_0000768,56,50-100,3360.0,medium,0.2352,5,15,1,1
0000287_01801_d_0000768,56,50-100,5767.0,medium,0.0,3,0,1,1
0000287_01801_d_0000768,56,50-100,1242.0,medium,0.1249,4,5,1,1
0000287_01801_d_0000768,56,50-100,576.0,small,0.0,1,3,1,1
0000287_01801_d_0000768,56,50-100,462.0,small,0.0,1,8,1,1
0000287_01801_d_0000768,56,50-100,576.0,small,0.0914,2,19,1,1
0000287_01801_d_0000768,56,50-100,713.0,small,0.1249,3,42,1,1
0000287_01801_d_0000768,56,50-100,578.0,small,0.1155,3,40,1,1
0000287_01801_d_0000768,56,50-100,504.0,small,0.1273,2,26,1,1
0000287_01801_d_0000768,56,50-100,306.0,small,0.0,0,18,1,1
0000287_01801_d_0000768,56,50-100,1060.0,medium,0.0978,4,12,1,1
0000287_01801_d_0000768,56,50-100,765.0,small,0.2006,3,20,1,1
0000287_01801_d_0000768,56,50-100,792.0,small,0.0978,3,17,1,1
0000287_01801_d_0000768,56,50-100,528.0,small,0.2006,2,14,1,1
0000287_01801_d_0000768,56,50-100,644.0,small,0.0,0,25,1,1
0000287_01801_d_0000768,56,50-100,736.0,small,0.0354,3,21,1,1
0000287_01801_d_0000768,56,50-100,552.0,small,0.0354,4,52,1,1
0000287_01801_d_0000768,56,50-100,897.0,small,0.4023,4,43,1,1
0000287_01801_d_0000768,56,50-100,703.0,small,0.4023,4,35,1,1
0000287_01801_d_0000768,56,50-100,588.0,small,0.0,3,29,1,1
0000287_01801_d_0000768,56,50-100,2774.0,medium,0.0795,3,7,1,1
0000287_01801_d_0000768,56,50-100,2847.0,medium,0.0795,6,4,1,1
0000287_01801_d_0000768,56,50-100,224.0,small,0.0,1,39,1,1
0000287_01801_d_0000768,56,50-100,336.0,small,0.0,0,11,1,1
0000287_01801_d_0000768,56,50-100,308.0,small,0.0,2,13,1,1
0000287_01801_d_0000768,56,50-100,225.0,small,0.1995,2,486,0,1
0000287_01801_d_0000768,56,50-100,280.0,small,0.1995,2,16,1,1
0000287_01801_d_0000768,56,50-100,1840.0,medium,0.0638,6,24,1,1
0000287_01801_d_0000768,56,50-100,2160.0,medium,0.2254,7,10,1,1
0000287_01801_d_0000768,56,50-100,1820.0,medium,0.3278,8,9,1,1
0000287_01801_d_0000768,56,50-100,1680.0,medium,0.3278,8,6,1,1
0000287_01801_d_0000768,56,50-100,1914.0,medium,0.3136,8,2,1,1
0000287_01801_d_0000768,56,50-100,1550.0,medium,0.0,3,59,1,1
0000287_01801_d_0000768,56,50-100,700.0,small,0.1273,3,78,1,1
0000287_01801_d_0000768,56,50-100,651.0,small,0.0975,2,194,1,1
0000287_01801_d_0000768,56,50-100,660.0,small,0.0,0,124,1,1
0000287_01801_d_0000768,56,50-100,231.0,small,0.2362,2,109,1,1
0000287_01801_d_0000768,56,50-100,104.0,small,0.2362,2,87,1,1
0000287_01801_d_0000768,56,50-100,65.0,small,0.1562,2,38,1,1
0000287_01801_d_0000768,56,50-100,483.0,small,0.3854,1,54,1,1
0000287_01801_d_0000768,56,50-100,200.0,small,0.3854,1,58,1,1
0000287_01801_d_0000768,56,50-100,1829.0,medium,0.2352,4,64,1,1
0000287_01801_d_0000768,56,50-100,403.0,small,0.147,3,-1,0,0
0000287_01801_d_0000768,56,50-100,416.0,small,0.1536,3,-1,0,0
