image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273275,1194390006c4fba34",6,<50,56,6,6,6,6,7,0,7,0,0,0,0,0,6,6
"273275,119f2b000f410aac5",9,<50,114,5,5,5,5,10,0,14,0,0,0,5,2,4,3
"273275,11a18600021ae7880",14,<50,72,14,14,14,14,14,0,17,0,0,0,0,0,14,14
"273275,11b6ef000746eac3c",6,<50,160,6,6,6,6,17,0,20,0,0,0,0,0,6,6
"273275,11be88000ddf1cc10",6,<50,44,6,6,6,6,6,0,7,0,0,0,0,0,6,6
"273275,11c0bd000afcb7dbd",55,50-100,207,21,22,22,22,25,0,42,0,0,0,0,0,55,22
"273275,11c13a000e2210532",5,<50,132,5,5,5,5,2,0,12,0,0,0,0,0,5,5
"273275,11c38e00027a06ffb",10,<50,205,10,10,10,10,13,0,16,0,0,0,0,0,10,10
"273275,11c3b6000d7355ab5",8,<50,74,8,8,8,8,10,0,13,0,0,0,0,0,8,8
"273275,11c9600005e6b80e8",20,<50,255,19,19,19,19,22,0,30,0,0,0,17,16,3,3
"273275,11cebe0001d7ab9af",10,<50,328,10,10,10,10,19,0,27,0,0,0,0,0,10,10
"273275,11d7860003783efe5",7,<50,127,5,5,5,5,11,0,17,0,0,0,1,1,6,4
"273275,11da450003fa41287",33,<50,618,23,24,26,26,43,0,56,0,0,0,0,0,33,24
"273275,11e1c80001f3978c1",20,<50,141,12,12,12,12,21,0,22,0,0,0,0,0,20,12
"273275,11e8c00066e473d7",9,<50,293,7,7,7,7,14,0,23,0,0,0,0,0,9,7
"273275,11e9ca00028ad5bcf",54,50-100,362,29,31,32,32,42,0,54,0,0,0,28,12,26,19
"273275,11ea1c00077dee797",11,<50,353,11,11,11,11,19,0,25,0,0,0,7,7,4,4
"273275,11f07100015256a16",17,<50,400,17,17,17,17,21,0,30,0,0,0,0,0,17,17
"273275,1206150006f1d9805",8,<50,41,8,8,8,8,10,0,10,0,0,0,0,0,8,8
"273275,12084c000781ea4bb",15,<50,151,8,10,10,10,15,0,22,0,0,0,0,0,15,10
"273275,12086f000b77714e4",10,<50,138,9,9,9,9,8,0,9,0,1,1,7,7,2,1
"273275,120e14000702c0c05",19,<50,304,13,17,17,17,24,0,32,0,0,0,0,0,19,17
"273275,12123b00033f6aec6",11,<50,707,10,10,10,10,25,0,39,0,0,0,0,0,11,10
"273275,1212c6000839d27b1",11,<50,140,10,11,11,11,11,0,15,0,0,0,1,1,10,10
"273275,1213e4000a8a35b40",31,<50,238,26,27,27,27,17,0,29,0,3,3,22,18,6,6
"273275,1213ff00008761141",7,<50,152,7,7,7,7,10,0,10,0,0,0,0,0,7,7
"273275,1215a4000c1093680",19,<50,401,19,19,19,19,25,0,29,0,0,0,0,0,19,19
"273275,121b3e000de485b3c",11,<50,303,11,11,11,11,18,0,23,0,0,0,0,0,11,11
"273275,1220bf000ae484eae",13,<50,264,10,10,10,10,15,0,15,0,0,0,12,9,1,1
"273275,122121000358bbd07",9,<50,62,2,2,2,2,5,0,6,0,5,0,2,0,2,2
"273275,12213c0006c292ab8",25,<50,383,22,24,24,24,32,0,37,0,0,0,0,0,25,24
"273275,1226d2000a659ea2f",7,<50,182,6,6,6,6,14,0,20,0,0,0,0,0,7,6
"273275,1227110001877fc5e",7,<50,69,7,7,7,7,10,0,10,0,0,0,0,0,7,7
"273275,1233260009982e063",3,<50,43,0,0,0,0,2,0,2,0,0,0,0,0,3,0
"273275,123340000ca9ba9bb",7,<50,278,3,5,5,5,18,0,26,0,0,0,0,0,7,5
"273275,1239c10001a10715a",12,<50,943,9,9,9,9,33,0,50,0,0,0,0,0,12,9
"273275,12454000c16e6ff8",59,50-100,694,37,41,45,45,27,0,42,0,3,2,35,23,21,16
"273275,124640000d8e9e9ae",14,<50,721,11,12,13,13,42,0,60,0,0,0,1,1,13,11
"273275,12590e000c96e40d3",3,<50,101,0,0,0,0,4,0,6,0,0,0,0,0,3,0
"273275,1259bf000f819c2e2",6,<50,366,2,2,3,3,13,0,29,0,0,0,0,0,6,2
"273275,1259e50004f75418c",10,<50,100,8,8,8,8,15,0,17,0,0,0,0,0,10,8
"273275,125f0700098e0230d",5,<50,112,0,0,0,0,8,0,12,0,0,0,0,0,5,0
"273275,12616d0007bb3dc8c",26,<50,423,13,16,17,17,26,0,45,0,2,0,19,12,5,4
"273275,1261fb00059762df2",6,<50,184,4,4,4,4,9,0,12,0,0,0,0,0,6,4
"273275,1267f40007a104811",36,<50,225,24,34,34,34,70,0,75,0,0,0,0,0,36,34
