image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273275,108b56000b706f71e",9,<50,433,8,8,8,8,9,0,22,0,4,3,5,5,0,0
"273275,108fa80006da5d0d9",5,<50,71,5,5,5,5,5,0,8,0,0,0,0,0,5,5
"273275,109b02000f637419e",15,<50,509,12,12,14,14,14,0,30,0,0,0,8,6,7,6
"273275,10a3fd000bd4ec4a4",16,<50,210,8,11,11,11,18,0,21,0,0,0,0,0,16,11
"273275,10a84c000e2225ea2",43,<50,556,26,29,35,35,27,0,46,0,0,0,1,0,42,29
"273275,10ae9b000921b9705",6,<50,603,5,5,5,5,18,0,32,0,0,0,0,0,6,5
"273275,10ba7f000a218d732",10,<50,373,9,9,9,9,10,0,16,0,0,0,0,0,10,9
"273275,10bb660004953ba37",17,<50,308,14,16,16,16,17,0,25,0,0,0,0,0,17,16
"273275,10c38a000f42d4441",39,<50,438,22,26,28,28,18,0,28,0,0,0,16,5,23,21
"273275,10c980000fee2dac9",8,<50,86,2,2,2,2,6,0,7,0,0,0,0,0,8,2
"273275,10ccb30005e9e6a21",7,<50,242,5,5,5,5,13,0,19,0,0,0,0,0,7,5
"273275,10cd9200055f04d4a",15,<50,925,14,14,14,14,37,0,61,0,0,0,0,0,15,14
"273275,10d6ed0003569eea8",25,<50,470,8,10,10,10,33,0,42,0,0,0,0,0,25,10
"273275,10de80000ffc28dff",9,<50,233,5,5,5,5,6,0,18,0,0,0,0,0,9,5
"273275,10e882000db631cd7",5,<50,512,3,4,4,4,7,0,48,0,0,0,0,0,5,4
"273275,10ed90000ecd7b9a1",5,<50,106,0,0,0,0,9,0,12,0,0,0,0,0,5,0
"273275,10f147000e1fad25c",12,<50,300,0,1,1,1,13,0,27,0,0,0,0,0,12,1
"273275,10f19a000fa7ceeee",30,<50,457,22,28,29,29,49,0,65,0,0,0,0,0,30,28
"273275,10f7d300015fdc5eb",7,<50,195,7,7,7,7,13,0,17,0,0,0,0,0,7,7
"273275,11004c0008ca61fe9",6,<50,277,6,6,6,6,6,0,17,0,0,0,0,0,6,6
"273275,1102cb00042568c43",11,<50,186,11,11,11,11,15,0,18,0,0,0,0,0,11,11
"273275,110f62000e5414853",5,<50,171,2,2,2,2,3,0,6,0,0,0,0,0,5,2
"273275,110fd5000174bcd2e",58,50-100,437,18,33,37,37,10,0,38,0,0,0,50,31,8,2
"273275,1110c700086950033",33,<50,410,19,21,22,22,14,0,22,0,0,0,19,10,14,11
"273275,111470006a465947",36,<50,968,27,31,33,33,44,0,68,0,18,14,17,16,1,1
"273275,111df6000c9ce34b4",30,<50,386,22,25,25,25,16,0,33,0,21,18,9,7,0,0
"273275,1122960009535d9d5",25,<50,420,11,13,16,16,26,0,34,0,0,0,14,6,11,7
"273275,112e8a000e5d9d57b",45,<50,401,30,37,40,40,28,0,45,0,0,0,0,0,45,37
"273275,1131e60002091109c",11,<50,247,3,3,3,3,12,0,15,0,0,0,0,0,11,3
"273275,113a79000b59fc0eb",25,<50,557,23,24,24,24,28,0,32,0,0,0,0,0,25,24
"273275,11424600085313315",92,50-100,566,41,51,60,60,33,0,36,0,0,0,84,48,8,3
"273275,114db7000e6138bf6",12,<50,272,12,12,12,12,20,0,24,0,0,0,0,0,12,12
"273275,11682100012f7b062",11,<50,227,10,10,10,10,18,0,19,0,0,0,0,0,11,10
"273275,1182b1000969afa44",3,<50,98,3,3,3,3,5,0,5,0,0,0,0,0,3,3
"273275,11864a000ebfb6765",53,50-100,652,22,27,39,42,47,0,81,0,0,0,11,4,42,23
"273275,1194390006c4fba34",6,<50,207,6,6,6,6,7,0,10,0,0,0,0,0,6,6
"273275,119f2b000f410aac5",9,<50,222,7,9,9,9,7,0,10,0,0,0,5,5,4,4
"273275,11a18600021ae7880",14,<50,76,14,14,14,14,15,0,17,0,0,0,0,0,14,14
"273275,11b6ef000746eac3c",6,<50,304,6,6,6,6,11,0,17,0,0,0,0,0,6,6
"273275,11be88000ddf1cc10",6,<50,85,6,6,6,6,6,0,8,0,0,0,0,0,6,6
"273275,11c0bd000afcb7dbd",55,50-100,475,23,26,27,27,25,0,41,0,0,0,0,0,55,26
"273275,11c13a000e2210532",5,<50,205,5,5,5,5,5,0,16,0,0,0,0,0,5,5
"273275,11c38e00027a06ffb",10,<50,286,10,10,10,10,11,0,14,0,0,0,0,0,10,10
"273275,11c3b6000d7355ab5",8,<50,155,8,8,8,8,10,0,10,0,0,0,0,0,8,8
"273275,11c9600005e6b80e8",20,<50,419,18,18,18,18,18,0,31,0,0,0,17,15,3,3
"273275,11cebe0001d7ab9af",10,<50,422,10,10,10,10,15,0,28,0,0,0,0,0,10,10
"273275,11d7860003783efe5",7,<50,137,6,6,6,6,7,0,12,0,0,0,1,1,6,5
"273275,11da450003fa41287",33,<50,863,22,24,26,26,31,0,54,0,0,0,0,0,33,24
"273275,11e1c80001f3978c1",20,<50,356,15,18,18,18,22,0,26,0,0,0,0,0,20,18
"273275,11e8c00066e473d7",9,<50,455,7,7,7,7,10,0,19,0,0,0,0,0,9,7
"273275,11e9ca00028ad5bcf",54,50-100,650,26,28,35,35,31,0,48,0,0,0,28,12,26,16
"273275,11ea1c00077dee797",11,<50,332,10,10,10,10,15,0,18,0,0,0,7,6,4,4
"273275,11f07100015256a16",17,<50,356,17,17,17,17,18,0,21,0,0,0,0,0,17,17
"273275,1206150006f1d9805",8,<50,109,8,8,8,8,9,0,11,0,0,0,0,0,8,8
"273275,12084c000781ea4bb",15,<50,235,5,7,7,7,17,0,33,0,0,0,0,0,15,7
"273275,12086f000b77714e4",10,<50,256,8,9,9,9,6,0,8,0,1,1,7,6,2,2
"273275,120e14000702c0c05",19,<50,428,13,14,15,15,16,0,32,0,0,0,0,0,19,14
"273275,12123b00033f6aec6",11,<50,538,11,11,11,11,14,0,25,0,0,0,0,0,11,11
"273275,1212c6000839d27b1",11,<50,230,11,11,11,11,9,0,12,0,0,0,1,1,10,10
"273275,1213e4000a8a35b40",31,<50,460,22,26,27,27,16,0,28,0,3,3,22,17,6,6
"273275,1213ff00008761141",7,<50,149,7,7,7,7,7,0,8,0,0,0,0,0,7,7
"273275,1215a4000c1093680",19,<50,347,19,19,19,19,18,0,23,0,0,0,0,0,19,19
