image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000213_05340_d_0000246,138,100-150,1000,74,104,118,122,76,0,123,0,95,67,40,34,3,3
0000213_05745_d_0000247,101,100-150,948,67,83,88,93,51,0,81,0,55,44,43,36,3,3
0000215_00000_d_0000256,157,150-300,755,66,97,112,114,39,0,68,0,132,73,24,23,1,1
0000215_00447_d_0000257,53,50-100,471,42,51,52,52,35,0,45,0,17,15,35,35,1,1
0000215_00909_d_0000258,93,50-100,863,63,80,86,87,48,0,65,0,54,42,37,36,2,2
0000215_01395_d_0000259,56,50-100,639,51,53,53,53,39,0,57,0,23,21,27,26,6,6
0000215_01869_d_0000260,78,50-100,1000,61,72,76,76,40,0,67,0,50,44,24,24,4,4
0000215_02319_d_0000261,107,100-150,896,60,72,81,90,36,0,58,0,73,39,32,31,2,2
0000215_02667_d_0000262,83,50-100,765,65,72,77,78,59,0,90,0,48,40,35,32,0,0
0000215_02932_d_0000263,48,<50,630,38,41,45,45,35,0,44,0,18,14,27,24,3,3
0000215_03226_d_0000264,23,<50,397,21,21,21,21,18,0,27,0,12,12,10,8,1,1
0000216_00520_d_0000001,109,100-150,988,37,51,71,78,5,0,21,0,78,28,31,23,0,0
0000220_01242_d_0000004,37,<50,408,30,31,32,32,23,0,33,0,25,21,10,8,2,2
0000223_01802_d_0000005,64,50-100,813,43,49,52,53,36,0,60,0,41,30,23,19,0,0
0000237_00001_d_0000001,15,<50,380,9,9,9,9,4,0,7,0,13,7,2,2,0,0
0000242_00001_d_0000001,42,<50,510,35,38,40,40,21,0,33,0,28,26,13,11,1,1
0000242_00500_d_0000002,53,50-100,695,35,42,46,46,21,0,32,0,41,30,12,12,0,0
0000242_00627_d_0000003,45,<50,519,36,41,41,41,25,0,37,0,38,34,6,6,1,1
0000242_00843_d_0000004,2,<50,40,2,2,2,2,3,0,3,0,0,0,0,0,2,2
0000242_00963_d_0000005,13,<50,243,12,12,12,12,8,0,15,0,5,4,5,5,3,3
0000242_01139_d_0000006,72,50-100,630,46,57,60,60,22,0,37,0,65,51,7,6,0,0
0000242_01475_d_0000007,65,50-100,574,52,59,61,61,39,0,57,0,45,39,18,18,2,2
0000242_01912_d_0000008,50,50-100,572,30,36,37,37,20,0,31,0,49,35,1,1,0,0
0000242_02400_d_0000009,34,<50,588,32,33,33,33,28,0,42,0,29,28,5,5,0,0
0000242_02762_d_0000010,33,<50,565,29,30,32,32,26,0,40,0,24,21,9,9,0,0
0000242_03199_d_0000011,9,<50,180,8,9,9,9,3,0,5,0,6,6,3,3,0,0
0000242_03668_d_0000012,41,<50,762,26,32,35,35,20,0,38,0,29,21,11,10,1,1
0000242_04116_d_0000013,8,<50,137,5,5,5,5,5,0,6,0,5,2,3,3,0,0
0000242_04600_d_0000014,29,<50,292,28,28,28,28,24,0,33,0,14,13,15,15,0,0
0000242_05059_d_0000015,37,<50,403,20,28,28,28,11,0,16,0,36,27,1,1,0,0
0000242_05570_d_0000016,32,<50,519,25,27,27,27,18,0,27,0,30,25,2,2,0,0
0000242_06010_d_0000017,41,<50,387,20,24,24,24,6,0,23,0,40,23,1,1,0,0
0000242_06452_d_0000018,12,<50,309,12,12,12,12,8,0,19,0,10,10,2,2,0,0
0000244_00001_d_0000001,46,<50,487,40,44,44,44,26,0,43,0,39,37,7,7,0,0
0000244_00500_d_0000002,32,<50,433,24,25,27,27,19,0,30,0,28,21,4,4,0,0
0000244_01000_d_0000003,122,100-150,882,46,63,65,68,32,0,47,0,114,56,8,7,0,0
0000244_01500_d_0000004,96,50-100,899,59,74,79,82,32,0,58,0,92,70,4,4,0,0
0000244_02000_d_0000005,129,100-150,989,60,75,84,89,44,0,66,0,122,68,7,7,0,0
0000244_02500_d_0000006,113,100-150,985,60,78,87,93,42,0,65,0,102,67,11,11,0,0
0000244_03000_d_0000007,44,<50,566,34,38,38,38,28,0,42,0,39,33,5,5,0,0
0000244_03500_d_0000008,146,100-150,996,54,76,87,96,34,0,66,0,129,64,17,12,0,0
0000244_04000_d_0000009,56,50-100,473,40,45,46,46,28,0,50,0,41,34,13,9,2,2
0000244_04400_d_0000010,101,100-150,990,61,74,86,89,45,0,78,0,78,53,22,21,1,0
0000244_04900_d_0000011,106,100-150,987,67,93,101,101,54,0,84,0,73,62,33,31,0,0
0000244_05400_d_0000012,90,50-100,948,58,74,77,78,42,0,69,0,78,62,12,12,0,0
0000244_05900_d_0000013,66,50-100,642,43,46,49,51,24,0,41,0,65,45,1,1,0,0
0000244_06388_d_0000014,46,<50,388,31,36,37,37,12,0,24,0,46,36,0,0,0,0
0000249_00001_d_0000001,80,50-100,728,42,50,52,53,29,0,52,0,72,43,8,7,0,0
0000249_00235_d_0000002,85,50-100,552,50,61,64,64,30,0,43,0,71,47,14,14,0,0
0000249_00603_d_0000003,48,<50,358,31,34,35,35,19,0,25,0,45,31,3,3,0,0
0000249_01100_d_0000004,27,<50,431,24,26,26,26,15,0,32,0,23,22,4,4,0,0
0000249_01514_d_0000005,51,50-100,571,39,44,47,47,26,0,40,0,36,30,15,14,0,0
0000249_01635_d_0000006,80,50-100,717,38,44,53,55,27,0,39,0,71,35,9,9,0,0
0000249_02073_d_0000007,67,50-100,617,40,51,52,52,21,0,34,0,61,47,6,4,0,0
0000249_02468_d_0000008,18,<50,192,10,10,10,10,5,0,9,0,11,7,7,3,0,0
0000249_02900_d_0000009,101,100-150,976,65,76,86,91,35,0,58,0,89,64,12,12,0,0
0000249_03400_d_0000010,92,50-100,936,65,76,79,82,46,0,77,0,79,63,13,13,0,0
0000249_03900_d_0000011,85,50-100,709,44,59,64,64,28,0,42,0,73,48,12,11,0,0
0000253_00001_d_0000001,106,100-150,551,51,74,80,80,0,0,10,0,106,74,0,0,0,0
0000256_00715_d_0000019,90,50-100,868,51,65,73,74,32,0,70,0,76,52,11,10,3,3
0000256_02173_d_0000030,47,<50,885,32,38,39,40,21,0,44,0,28,22,16,13,3,3
0000263_02401_d_0000179,17,<50,302,16,17,17,17,19,0,24,0,6,6,6,6,5,5
0000269_00001_d_0000348,128,100-150,932,58,75,83,84,49,0,67,0,106,54,21,20,1,1
0000269_00201_d_0000349,47,<50,618,44,47,47,47,41,0,51,0,27,27,20,20,0,0
0000269_00601_d_0000351,93,50-100,992,66,80,83,84,54,0,83,0,72,61,21,19,0,0
0000271_00001_d_0000374,58,50-100,1000,45,53,53,54,35,0,64,0,39,37,17,14,2,2
