image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000242_00843_d_0000004,2,<50,63,2,2,2,2,3,0,3,0,0,0,0,0,2,2
0000242_00963_d_0000005,13,<50,398,7,7,7,7,7,0,17,0,5,1,5,4,3,2
0000242_01139_d_0000006,72,50-100,893,19,22,22,22,18,0,33,0,65,16,7,6,0,0
0000242_01475_d_0000007,65,50-100,921,34,40,44,45,34,0,62,0,45,21,18,17,2,2
0000242_01912_d_0000008,50,50-100,786,11,12,14,15,18,0,30,0,49,11,1,1,0,0
0000242_02400_d_0000009,34,<50,833,18,20,20,20,22,0,38,0,29,15,5,5,0,0
0000242_02762_d_0000010,33,<50,984,22,22,24,26,26,0,41,0,24,13,9,9,0,0
0000242_03199_d_0000011,9,<50,194,4,4,4,4,2,0,5,0,6,2,3,2,0,0
0000242_03668_d_0000012,41,<50,944,14,17,18,18,19,0,31,0,29,7,11,9,1,1
0000242_04116_d_0000013,8,<50,305,3,3,3,3,4,0,11,0,5,0,3,3,0,0
0000242_04600_d_0000014,29,<50,495,16,19,21,21,21,0,30,0,14,6,15,13,0,0
0000242_05059_d_0000015,37,<50,553,4,7,8,8,4,0,7,0,36,7,1,0,0,0
0000242_05570_d_0000016,32,<50,726,9,10,13,13,9,0,24,0,30,9,2,1,0,0
0000242_06010_d_0000017,41,<50,616,6,8,9,9,5,0,14,0,40,7,1,1,0,0
0000242_06452_d_0000018,12,<50,559,8,8,8,8,8,0,16,0,10,6,2,2,0,0
0000244_00001_d_0000001,46,<50,879,17,19,22,22,18,0,29,0,39,14,7,5,0,0
0000244_00500_d_0000002,32,<50,775,11,13,13,13,13,0,26,0,28,9,4,4,0,0
0000244_01000_d_0000003,122,100-150,1000,19,20,22,24,25,0,36,0,114,14,8,6,0,0
0000244_01500_d_0000004,96,50-100,904,27,36,39,41,15,0,44,0,92,33,4,3,0,0
0000244_02000_d_0000005,129,100-150,998,28,36,42,44,25,0,51,0,122,31,7,5,0,0
0000244_02500_d_0000006,113,100-150,983,17,24,30,34,21,0,43,0,102,19,11,5,0,0
0000244_03000_d_0000007,44,<50,840,18,23,24,24,14,0,25,0,39,18,5,5,0,0
0000244_03500_d_0000008,146,100-150,1000,17,21,25,30,18,0,53,0,129,16,17,5,0,0
0000244_04000_d_0000009,56,50-100,471,15,17,18,18,22,0,43,0,41,9,13,7,2,1
0000244_04400_d_0000010,101,100-150,993,29,42,47,51,37,0,81,0,78,27,22,15,1,0
0000244_04900_d_0000011,106,100-150,999,45,57,63,65,39,0,81,0,73,30,33,27,0,0
0000244_05400_d_0000012,90,50-100,983,38,45,47,47,25,0,58,0,78,34,12,11,0,0
0000244_05900_d_0000013,66,50-100,932,19,22,23,23,15,0,29,0,65,21,1,1,0,0
0000244_06388_d_0000014,46,<50,666,14,16,18,18,4,0,15,0,46,16,0,0,0,0
0000249_00001_d_0000001,80,50-100,1000,20,21,25,25,20,0,42,0,72,16,8,5,0,0
0000249_00235_d_0000002,85,50-100,838,26,28,30,32,28,0,36,0,71,18,14,10,0,0
0000249_00603_d_0000003,48,<50,674,18,19,19,19,19,0,25,0,45,17,3,2,0,0
0000249_01100_d_0000004,27,<50,670,14,19,19,19,7,0,21,0,23,16,4,3,0,0
0000249_01514_d_0000005,51,50-100,887,23,27,29,29,24,0,42,0,36,14,15,13,0,0
0000249_01635_d_0000006,80,50-100,928,19,20,21,22,19,0,38,0,71,14,9,6,0,0
0000249_02073_d_0000007,67,50-100,921,10,14,16,17,12,0,26,0,61,11,6,3,0,0
0000249_02468_d_0000008,18,<50,307,6,6,6,6,3,0,8,0,11,4,7,2,0,0
0000249_02900_d_0000009,101,100-150,978,36,40,44,45,25,0,56,0,89,28,12,12,0,0
0000249_03400_d_0000010,92,50-100,937,38,42,48,50,30,0,56,0,79,30,13,12,0,0
0000249_03900_d_0000011,85,50-100,890,26,30,32,33,21,0,42,0,73,20,12,10,0,0
0000253_00001_d_0000001,106,100-150,490,30,51,60,60,0,0,1,0,106,51,0,0,0,0
0000256_00715_d_0000019,90,50-100,820,28,33,34,35,29,0,58,0,76,26,11,5,3,2
0000256_02173_d_0000030,47,<50,879,19,22,24,24,12,0,35,0,28,13,16,6,3,3
0000263_02401_d_0000179,17,<50,434,14,15,15,15,15,0,19,0,6,4,6,6,5,5
0000269_00001_d_0000348,128,100-150,998,35,40,40,42,37,0,57,0,106,20,21,19,1,1
0000269_00201_d_0000349,47,<50,793,29,31,34,34,38,0,52,0,27,12,20,19,0,0
0000269_00601_d_0000351,93,50-100,998,41,45,46,47,51,0,81,0,72,29,21,16,0,0
0000271_00001_d_0000374,58,50-100,1000,17,23,25,26,22,0,50,0,39,12,17,9,2,2
0000271_00201_d_0000375,75,50-100,1000,26,33,34,34,39,0,83,0,48,19,27,14,0,0
0000271_00401_d_0000376,25,<50,954,6,7,7,7,16,0,25,0,16,1,8,5,1,1
0000271_00601_d_0000377,79,50-100,992,22,24,30,32,39,0,68,0,61,15,15,8,3,1
0000271_00801_d_0000378,63,50-100,723,20,21,23,23,35,0,61,0,48,11,15,10,0,0
0000271_01201_d_0000379,59,50-100,934,16,19,21,23,21,0,47,0,36,8,21,10,2,1
0000271_01401_d_0000380,55,50-100,1000,24,30,33,34,33,0,63,0,36,14,17,15,2,1
0000271_01601_d_0000381,48,<50,1000,21,23,23,24,26,0,50,0,34,13,13,9,1,1
0000271_02401_d_0000385,84,50-100,992,25,32,35,38,26,0,50,0,58,20,25,12,1,0
0000271_02601_d_0000386,79,50-100,967,27,33,38,41,36,0,73,0,51,12,23,16,5,5
0000271_03001_d_0000387,56,50-100,1000,18,21,22,22,28,0,61,0,44,12,10,7,2,2
0000271_03801_d_0000391,57,50-100,1000,29,31,32,32,29,0,45,0,41,17,16,14,0,0
0000271_04401_d_0000394,86,50-100,1000,31,36,39,43,36,0,58,0,60,21,24,14,2,1
0000271_04801_d_0000396,50,50-100,1000,20,22,26,26,21,0,44,0,33,8,17,14,0,0
0000271_05001_d_0000397,90,50-100,1000,21,26,28,31,26,0,50,0,78,19,11,7,1,0
0000271_05201_d_0000398,70,50-100,989,26,29,31,34,34,0,56,0,44,17,24,11,2,1
0000271_05401_d_0000399,71,50-100,1000,27,28,31,32,37,0,50,0,50,14,17,11,4,3
0000271_05601_d_0000400,86,50-100,992,31,37,38,40,33,0,47,0,67,22,17,13,2,2
0000271_05801_d_0000401,104,100-150,943,37,39,44,46,47,0,65,0,64,22,36,15,4,2
0000271_06001_d_0000402,158,150-300,999,55,69,75,83,59,0,84,0,106,27,46,36,6,6
0000271_06201_d_0000403,142,100-150,1000,47,57,61,63,49,0,73,0,87,23,53,32,2,2
0000271_06401_d_0000404,128,100-150,999,51,60,66,69,50,0,72,0,74,28,51,29,3,3
0000271_06601_d_0000405,105,100-150,991,59,69,72,72,60,0,85,0,42,18,59,47,4,4
0000271_06801_d_0000406,95,50-100,978,47,56,59,59,61,0,80,0,45,13,46,39,4,4
0000271_07001_d_0000407,58,50-100,1000,23,26,28,29,25,0,45,0,42,12,11,9,5,5
0000271_07201_d_0000408,25,<50,841,8,8,9,9,9,0,21,0,22,6,2,1,1,1
0000271_07401_d_0000409,42,<50,1000,18,20,21,22,25,0,49,0,17,3,22,14,3,3
0000273_05601_d_0000466,32,<50,992,10,13,15,15,11,0,35,0,7,1,23,10,2,2
0000276_00001_d_0000507,55,50-100,798,21,27,29,29,22,0,52,0,43,16,11,10,1,1
0000276_00401_d_0000509,62,50-100,963,23,24,24,24,25,0,51,0,50,14,12,10,0,0
0000276_00601_d_0000510,37,<50,752,17,17,17,17,14,0,27,0,28,10,8,7,1,0
0000276_01001_d_0000512,42,<50,938,11,13,14,16,18,0,29,0,30,8,12,5,0,0
0000276_01201_d_0000513,29,<50,712,12,16,16,17,10,0,22,0,20,7,9,9,0,0
0000276_01401_d_0000514,25,<50,802,9,9,9,9,6,0,19,0,18,5,5,3,2,1
0000276_01801_d_0000516,21,<50,998,10,10,10,10,4,0,13,0,19,8,1,1,1,1
0000276_02001_d_0000517,15,<50,574,6,7,7,7,7,0,15,0,15,7,0,0,0,0
0000276_02201_d_0000518,41,<50,670,13,13,15,15,15,0,25,0,29,6,11,6,1,1
0000276_02401_d_0000519,48,<50,972,12,12,15,15,9,0,31,0,40,9,7,2,1,1
0000276_02601_d_0000520,32,<50,874,13,14,14,14,17,0,31,0,26,11,6,3,0,0
0000276_02801_d_0000521,37,<50,817,14,17,17,17,12,0,33,0,32,14,3,2,2,1
0000276_03001_d_0000522,38,<50,912,15,15,15,15,16,0,33,0,30,8,8,7,0,0
0000276_03201_d_0000523,60,50-100,908,13,13,13,14,13,0,27,0,54,8,6,5,0,0
0000276_03401_d_0000524,61,50-100,948,16,19,19,20,19,0,33,0,54,13,6,6,1,0
0000276_03601_d_0000525,46,<50,816,27,29,30,30,25,0,62,0,35,18,11,11,0,0
0000276_03801_d_0000526,64,50-100,989,24,27,28,30,20,0,46,0,42,12,21,14,1,1
0000276_04001_d_0000527,54,50-100,1000,9,11,12,12,8,0,21,0,40,6,13,5,1,0
0000276_04201_d_0000528,59,50-100,997,36,40,43,44,35,0,59,0,26,13,28,24,5,3
0000276_04401_d_0000529,40,<50,682,36,37,37,37,34,0,51,0,5,5,29,26,6,6
0000276_04601_d_0000530,10,<50,262,6,6,6,6,6,0,12,0,8,4,1,1,1,1
0000276_04801_d_0000531,10,<50,234,6,6,6,6,5,0,6,0,6,3,3,2,1,1
0000276_05001_d_0000532,7,<50,251,4,4,4,4,4,0,12,0,5,2,2,2,0,0
0000276_05201_d_0000533,6,<50,227,5,5,5,5,6,0,9,0,3,2,2,2,1,1
0000276_05601_d_0000535,10,<50,272,3,3,3,3,0,0,7,0,10,3,0,0,0,0
0000276_05801_d_0000536,7,<50,167,2,2,2,2,3,0,5,0,7,2,0,0,0,0
0000276_06001_d_0000537,14,<50,257,4,4,4,4,4,0,6,0,12,2,2,2,0,0
0000277_00001_d_0000539,85,50-100,902,29,34,37,37,34,0,74,0,65,18,19,15,1,1
0000277_00201_d_0000540,83,50-100,973,26,30,33,34,29,0,61,0,51,9,30,20,2,1
0000277_00401_d_0000541,117,100-150,948,30,34,35,37,28,0,47,0,93,18,24,16,0,0
0000277_01401_d_0000546,78,50-100,904,25,33,36,36,32,0,53,0,42,10,34,22,2,1
0000277_01601_d_0000547,78,50-100,931,33,33,33,34,37,0,59,0,45,9,32,23,1,1
0000277_01801_d_0000548,101,100-150,977,42,45,47,47,41,0,73,0,62,19,37,24,2,2
0000277_02001_d_0000549,83,50-100,1000,38,46,46,49,39,0,73,0,36,10,40,29,7,7
0000277_02201_d_0000550,68,50-100,987,38,42,44,46,43,0,69,0,33,16,32,23,3,3
0000277_02401_d_0000551,90,50-100,951,36,40,43,45,40,0,67,0,62,19,25,18,3,3
0000277_02601_d_0000552,121,100-150,965,36,38,42,45,33,0,62,0,94,16,26,21,1,1
0000277_03201_d_0000554,85,50-100,1000,35,39,40,40,38,0,66,0,60,16,25,23,0,0
0000277_03401_d_0000555,103,100-150,994,34,39,40,41,38,0,75,0,72,17,31,22,0,0
0000277_03601_d_0000556,59,50-100,759,37,39,42,42,35,0,60,0,25,11,32,26,2,2
0000277_04001_d_0000558,74,50-100,903,35,43,44,45,41,0,61,0,52,24,16,13,6,6
0000277_04201_d_0000559,67,50-100,968,27,33,36,38,40,0,68,0,39,14,24,16,4,3
0000277_04401_d_0000560,70,50-100,938,32,33,35,35,36,0,62,0,34,8,34,23,2,2
0000277_04601_d_0000561,95,50-100,1000,36,41,42,42,43,0,64,0,63,17,30,22,2,2
0000277_05001_d_0000562,97,50-100,998,43,52,53,56,47,0,74,0,61,23,35,28,1,1
0000280_00001_d_0000612,87,50-100,992,28,35,36,39,42,0,69,0,65,21,20,12,2,2
0000280_00201_d_0000613,47,<50,1000,24,27,30,31,30,0,60,0,21,8,24,17,2,2
0000280_00401_d_0000614,59,50-100,938,18,20,21,21,26,0,44,0,35,5,22,14,2,1
0000280_00601_d_0000615,74,50-100,986,12,15,17,19,17,0,48,0,57,6,15,8,2,1
0000280_00801_d_0000616,70,50-100,989,16,19,20,21,26,0,50,0,46,7,23,12,1,0
0000280_01001_d_0000617,125,100-150,929,27,30,32,32,33,0,65,0,102,12,21,16,2,2
0000280_01201_d_0000618,134,100-150,930,34,36,37,40,37,0,59,0,97,11,34,22,3,3
0000280_01401_d_0000619,110,100-150,1000,27,34,37,38,34,0,69,0,73,15,33,15,4,4
0000280_01601_d_0000620,103,100-150,994,37,42,48,52,38,0,65,0,70,20,30,20,3,2
0000280_01801_d_0000621,90,50-100,989,28,29,30,30,28,0,55,0,72,16,16,11,2,2
0000280_02001_d_0000622,66,50-100,809,30,31,32,33,31,0,45,0,44,16,21,14,1,1
0000280_02201_d_0000623,80,50-100,952,22,27,30,31,30,0,51,0,57,10,20,14,3,3
0000280_02401_d_0000624,92,50-100,953,28,29,29,30,26,0,45,0,67,11,23,16,2,2
0000280_02601_d_0000625,73,50-100,987,25,28,29,29,26,0,55,0,48,10,23,16,2,2
