image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000271_07001_d_0000407,58,50-100,418,33,37,37,37,27,0,38,0,42,22,11,10,5,5
0000271_07201_d_0000408,25,<50,293,19,20,20,20,7,0,19,0,22,17,2,2,1,1
0000271_07401_d_0000409,42,<50,449,31,34,34,34,27,0,39,0,17,12,22,19,3,3
0000273_05601_d_0000466,32,<50,611,21,26,28,28,8,0,24,0,7,5,23,19,2,2
0000276_00001_d_0000507,55,50-100,318,37,41,41,41,25,0,42,0,43,29,11,11,1,1
0000276_00401_d_0000509,62,50-100,390,29,34,35,35,26,0,50,0,50,22,12,12,0,0
0000276_00601_d_0000510,37,<50,322,21,24,24,24,16,0,27,0,28,15,8,8,1,1
0000276_01001_d_0000512,42,<50,461,23,30,30,30,15,0,22,0,30,22,12,8,0,0
0000276_01201_d_0000513,29,<50,335,21,22,22,22,12,0,18,0,20,13,9,9,0,0
0000276_01401_d_0000514,25,<50,347,13,17,19,19,5,0,21,0,18,11,5,4,2,2
0000276_01801_d_0000516,21,<50,418,10,13,13,13,6,0,10,0,19,11,1,1,1,1
0000276_02001_d_0000517,15,<50,254,14,14,14,14,6,0,13,0,15,14,0,0,0,0
0000276_02201_d_0000518,41,<50,296,23,28,28,28,14,0,23,0,29,18,11,9,1,1
0000276_02401_d_0000519,48,<50,367,23,25,25,25,9,0,25,0,40,17,7,7,1,1
0000276_02601_d_0000520,32,<50,330,21,23,23,23,14,0,29,0,26,18,6,5,0,0
0000276_02801_d_0000521,37,<50,351,24,24,24,24,14,0,34,0,32,20,3,2,2,2
0000276_03001_d_0000522,38,<50,334,22,25,25,25,18,0,27,0,30,17,8,8,0,0
0000276_03201_d_0000523,60,50-100,488,22,25,26,26,14,0,25,0,54,20,6,5,0,0
0000276_03401_d_0000524,61,50-100,581,28,32,33,33,16,0,35,0,54,26,6,6,1,0
0000276_03601_d_0000525,46,<50,386,35,39,40,40,25,0,46,0,35,28,11,11,0,0
0000276_03801_d_0000526,64,50-100,660,34,40,44,45,22,0,43,0,42,20,21,19,1,1
0000276_04001_d_0000527,54,50-100,700,18,25,28,28,6,0,21,0,40,16,13,9,1,0
0000276_04201_d_0000528,59,50-100,511,49,56,57,57,32,0,57,0,26,23,28,28,5,5
0000276_04401_d_0000529,40,<50,368,40,40,40,40,32,0,45,0,5,5,29,29,6,6
0000276_04601_d_0000530,10,<50,119,8,8,8,8,6,0,8,0,8,6,1,1,1,1
0000276_04801_d_0000531,10,<50,97,7,7,7,7,3,0,9,0,6,3,3,3,1,1
0000276_05001_d_0000532,7,<50,133,6,6,6,6,8,0,9,0,5,4,2,2,0,0
0000276_05201_d_0000533,6,<50,188,5,5,5,5,5,0,8,0,3,2,2,2,1,1
0000276_05601_d_0000535,10,<50,177,5,5,5,5,4,0,8,0,10,5,0,0,0,0
0000276_05801_d_0000536,7,<50,106,4,4,4,4,4,0,6,0,7,4,0,0,0,0
0000276_06001_d_0000537,14,<50,118,7,7,7,7,4,0,7,0,12,5,2,2,0,0
0000277_00001_d_0000539,85,50-100,771,45,54,61,62,38,0,72,0,65,38,19,15,1,1
0000277_00201_d_0000540,83,50-100,764,46,56,61,62,29,0,64,0,51,27,30,27,2,2
0000277_00401_d_0000541,117,100-150,529,50,67,70,70,24,0,47,0,93,46,24,21,0,0
0000277_01401_d_0000546,78,50-100,650,45,59,61,61,34,0,52,0,42,26,34,31,2,2
0000277_01601_d_0000547,78,50-100,674,49,56,60,60,33,0,57,0,45,24,32,31,1,1
0000277_01801_d_0000548,101,100-150,760,54,66,70,74,45,0,70,0,62,31,37,33,2,2
0000277_02001_d_0000549,83,50-100,700,54,65,71,71,39,0,64,0,36,23,40,35,7,7
0000277_02201_d_0000550,68,50-100,676,49,55,59,60,36,0,59,0,33,23,32,29,3,3
0000277_02401_d_0000551,90,50-100,712,57,67,69,70,35,0,67,0,62,39,25,25,3,3
0000277_02601_d_0000552,121,100-150,695,51,67,74,74,32,0,61,0,94,43,26,23,1,1
0000277_03201_d_0000554,85,50-100,596,44,51,54,54,37,0,62,0,60,26,25,25,0,0
0000277_03401_d_0000555,103,100-150,733,54,69,74,75,39,0,67,0,72,39,31,30,0,0
0000277_03601_d_0000556,59,50-100,456,45,53,53,53,37,0,52,0,25,20,32,31,2,2
0000277_04001_d_0000558,74,50-100,599,51,63,63,63,36,0,71,0,52,41,16,16,6,6
0000277_04201_d_0000559,67,50-100,684,49,55,57,57,39,0,70,0,39,29,24,22,4,4
0000277_04401_d_0000560,70,50-100,573,46,54,56,56,40,0,57,0,34,22,34,30,2,2
0000277_04601_d_0000561,95,50-100,566,56,67,71,71,40,0,58,0,63,38,30,27,2,2
